village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,ndvi_reliable,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,pmfby_claims_reported,pmfby_claim_amount_inr,pmfby_sum_insured_inr,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict
Mundargi (Gadag),Gadag,Mundargi,15.2083,75.8833,2024-07-02,2024-08-26,2024-09-20,Kharif,2024,0.0919,0.0422,,False,-0.0993,-0.0314,100.0,100.0,-8.3,-14.72,-7.24,-13.46,1,372.0,278.52,-33.56,0,,,Rice,,3106.0,,4,142790.46,200000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Nargund (Gadag),Gadag,Nargund,15.7167,75.3833,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0145,0.2238,,False,0.0075,-0.2242,100.0,89.64,-7.44,-15.32,-7.28,-14.84,1,470.6,328.04,-43.46,0,,,Rice,,3106.0,,3,58390.63,120000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Shirhatti (Gadag),Gadag,Shirhatti,15.2333,75.5667,2024-07-01,2024-08-24,2024-09-18,Kharif,2024,0.0719,0.1925,,False,-0.0739,-0.1644,100.0,100.0,-8.94,-17.0,-7.96,-14.07,1,506.8,360.41,-40.62,0,,,Rice,,3106.0,,4,100699.3,200000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Ranebennur (Haveri),Haveri,Ranebennur,14.62,75.63,2024-06-22,2024-08-16,2024-09-10,Kharif,2024,-0.0001,0.2048,,False,0.0282,-0.2163,100.0,83.92,-6.11,-14.4,-5.9,-14.17,1,596.2,416.93,-43.0,0,,,Rice,,2091.0,,2,29512.13,70000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Byadgi (Haveri),Haveri,Byadgi,14.6733,75.4867,2024-06-24,2024-08-18,2024-09-12,Kharif,2024,0.2142,0.1457,,False,-0.2103,-0.1194,100.0,100.0,-6.92,-14.85,-6.28,-14.26,1,672.3,390.26,-72.27,0,,,Rice,,2091.0,,3,113849.55,165000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hangal (Haveri),Haveri,Hangal,14.7633,75.1233,2024-06-20,2024-08-14,2024-09-08,Kharif,2024,0.1554,0.0028,,False,-0.1481,0.0272,100.0,100.0,-6.56,-14.72,-5.51,-13.74,1,794.2,684.53,-16.02,0,,,Rice,,2091.0,,4,0.0,200000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hirekerur (Haveri),Haveri,Hirekerur,14.4567,75.3933,2024-06-26,2024-08-20,2024-09-15,Kharif,2024,0.0728,0.4563,,False,-0.0534,-0.4309,100.0,31.49,-7.1,-14.93,,,1,639.8,465.92,-37.32,0,,,Rice,,2091.0,,2,59417.130000000005,115000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Bellary Town (Bellary),Bellary,Bellary Town,15.1394,76.9214,2024-07-08,2024-09-01,2024-09-28,Kharif,2024,0.2712,0.1367,,False,-0.2995,-0.1414,26.01,100.0,,,-3.74,-13.1,1,349.1,268.86,-29.84,0,,,Rice,,4113.0,,2,65150.72,115000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hospet (Bellary),Bellary,Hospet,15.2689,76.3909,2024-07-05,2024-08-28,2024-09-22,Kharif,2024,0.0985,0.2455,,False,-0.0934,-0.2676,100.0,15.63,-6.11,-13.52,,,1,357.9,265.14,-34.99,0,,,Rice,,4113.0,,4,135288.55,207000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Sandur (Bellary),Bellary,Sandur,15.0833,76.55,2024-07-10,2024-09-03,2024-09-30,Kharif,2024,0.0833,0.2726,,False,-0.0569,-0.2423,100.0,98.05,-7.32,-15.54,-5.52,-12.98,1,406.7,356.03,-14.23,0,,,Rice,,4113.0,,1,30148.09,50000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Siruguppa (Bellary),Bellary,Siruguppa,15.6333,76.8967,2024-07-12,2024-09-05,2024-10-01,Kharif,2024,0.0864,0.4161,,False,-0.0893,-0.4067,100.0,0.0,-7.7,-16.14,,,1,383.8,315.79,-21.54,0,,,Rice,,4113.0,,4,47427.4,185000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Shorapur (Yadgir),Yadgir,Shorapur,16.52,76.76,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.08,0.2432,,False,-0.0832,-0.2405,100.0,88.88,-7.15,-15.35,-6.68,-14.97,1,733.1,354.6,-106.74,0,,,Rice,,3642.0,,1,62604.35,65000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Shahapur (Yadgir),Yadgir,Shahapur,16.6933,76.8433,2024-06-18,2024-08-12,2024-09-06,Kharif,2024,0.1675,0.3512,,False,-0.1688,-0.3418,100.0,90.98,-6.14,-15.28,-5.43,-14.6,1,689.5,371.75,-85.47,0,,,Rice,,3642.0,,1,21125.68,42000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hunasagi (Yadgir),Yadgir,Hunasagi,16.35,76.4667,2024-06-25,2024-08-20,2024-09-15,Kharif,2024,0.1001,0.6924,,False,-0.0741,-0.6307,100.0,7.59,-10.45,-18.79,,,1,537.7,332.54,-61.69,0,,,Rice,,3642.0,,3,103544.13,142000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Surapura (Yadgir),Yadgir,Surapura,16.4333,76.8,2024-06-22,2024-08-16,2024-09-10,Kharif,2024,0.0372,0.1243,,False,-0.0185,-0.0888,100.0,100.0,-7.4,-17.66,-9.59,-17.45,1,616.3,350.93,-75.62,0,,,Rice,,3642.0,,4,178755.56,222000,TRUE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Jamkhandi (Bagalkot),Bagalkot,Jamkhandi,16.5,75.2833,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.0738,0.4793,,False,-0.071,-0.5084,100.0,5.27,-8.82,-15.74,,,1,519.6,338.17,-53.65,0,,,Rice,,3394.0,,3,82774.45999999999,165000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Badami (Bagalkot),Bagalkot,Badami,15.9167,75.6833,2024-07-01,2024-08-25,2024-09-20,Kharif,2024,-0.0485,0.2292,,False,0.0767,-0.2266,100.0,82.44,-9.19,-16.5,-9.38,-16.11,1,514.7,318.52,-61.59,0,,,Rice,,3394.0,,3,77477.02,180000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Bilgi (Bagalkot),Bagalkot,Bilgi,16.35,75.6167,2024-06-30,2024-08-24,2024-09-18,Kharif,2024,0.2158,0.3475,,False,-0.2157,-0.3557,100.0,12.07,-7.65,-16.13,,,1,492.7,342.73,-43.76,0,,,Rice,,3394.0,,4,118891.3,192000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Mudhol (Bagalkot),Bagalkot,Mudhol,16.3333,75.2833,2024-06-26,2024-08-18,2024-09-12,Kharif,2024,0.0723,0.2925,,False,-0.0638,-0.3065,100.0,30.69,-6.62,-14.26,,,1,544.3,330.37,-64.75,0,,,Rice,,3394.0,,2,58372.09,100000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Shiggaon (Haveri),Haveri,Shiggaon,14.9917,75.225,2024-06-19,2024-08-13,2024-09-07,Kharif,2024,0.1021,0.2972,,False,-0.1053,-0.2856,100.0,99.62,-6.85,-14.72,-6.48,-14.19,1,648.9,451.94,-43.58,0,,,Rice,,2091.0,,2,54768.11,84000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,15.3647,75.124,2024-07-02,2024-08-26,2024-09-20,Kharif,2024,0.0731,-0.0098,,False,-0.0643,0.0171,100.0,100.0,-7.2,-13.47,-6.95,-13.35,1,605.2,454.31,-33.21,0,,,Rice,,1351.0,,4,70462.27,184000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Kalghatgi (Dharwad),Dharwad,Kalghatgi,15.1833,74.9667,2024-07-05,2024-08-30,2024-09-24,Kharif,2024,0.0522,0.1917,,False,-0.0459,-0.1549,100.0,94.02,-6.65,-14.02,-6.87,-13.96,1,863.5,451.35,-91.31,0,,,Rice,,1351.0,,1,28050.43,35000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Jewargi (Kalaburagi),Kalaburagi,Jewargi,17.0167,76.7833,2024-06-16,2024-08-08,2024-09-02,Kharif,2024,0.0127,0.4923,,False,-0.0051,-0.434,100.0,37.22,-10.25,-19.17,,,1,724.5,375.17,-93.11,0,,,Rice,,2563.0,,1,16230.05,42000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Chittapur (Kalaburagi),Kalaburagi,Chittapur,17.1167,76.65,2024-06-14,2024-08-06,2024-09-01,Kharif,2024,0.0143,0.4023,,False,-0.0078,-0.3593,100.0,57.52,-8.29,-19.31,-9.78,-18.8,1,669.5,378.82,-76.73,0,,,Rice,,2563.0,,1,28446.18,35000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Shahabad (Kalaburagi),Kalaburagi,Shahabad,17.3333,76.9333,2024-06-20,2024-08-12,2024-09-08,Kharif,2024,0.1047,0.4997,,False,-0.1057,-0.4674,95.72,0.38,-10.79,-20.78,,,1,717.4,436.44,-64.38,0,,,Rice,,2563.0,,4,117024.44,215000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hagaribommanahalli (Bellary),Bellary,Hagaribommanahalli,15.0383,76.2117,2024-07-06,2024-08-28,2024-09-24,Kharif,2024,0.0767,0.3796,,False,-0.0792,-0.367,100.0,79.75,-8.73,-15.26,-9.4,-15.89,1,408.8,288.53,-41.68,0,,,Rice,,4113.0,,3,94151.63,149000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Kudligi (Bellary),Bellary,Kudligi,14.9033,76.3867,2024-07-08,2024-09-01,2024-09-28,Kharif,2024,0.0162,0.0128,,False,0.0091,-0.0038,100.0,100.0,-6.57,-15.3,-7.52,-15.81,1,481.2,350.05,-37.47,0,,,Rice,,4113.0,,3,87615.57,150000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Kampli (Bellary),Bellary,Kampli,15.4,76.6,2024-07-04,2024-08-26,2024-09-21,Kharif,2024,0.3834,-0.0929,,False,-0.3696,0.1541,7.38,100.0,,,-9.34,-16.93,1,303.7,265.33,-14.46,0,,,Rice,,4113.0,,1,0.0,35000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Humnabad (Bidar),Bidar,Humnabad,17.7667,76.9333,2024-06-16,2024-08-10,2024-09-04,Kharif,2024,0.0428,-0.024,,False,-0.047,0.0139,100.0,100.0,-10.03,-19.48,-7.39,-14.42,1,884.5,477.64,-85.18,0,,,Rice,,1703.0,,2,79447.46,92000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Basavakalyan (Bidar),Bidar,Basavakalyan,17.87,76.95,2024-06-14,2024-08-08,2024-09-02,Kharif,2024,0.023,-0.0197,,False,-0.0193,0.0065,100.0,100.0,-6.18,-15.03,-6.06,-15.23,1,840.9,483.41,-73.95,0,,,Rice,,1703.0,,2,52090.560000000005,100000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Bhalki (Bidar),Bidar,Bhalki,18.0483,76.3233,2024-06-12,2024-08-05,2024-08-30,Kharif,2024,0.0085,0.086,,False,0.0072,-0.0598,100.0,100.0,-7.69,-15.99,-8.0,-15.07,1,753.9,477.18,-57.99,0,,,Rice,,1703.0,,4,56262.65,147000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Aurad (Bidar),Bidar,Aurad,17.4667,77.2167,2024-06-18,2024-08-12,2024-09-06,Kharif,2024,0.0448,0.45,,False,-0.0372,-0.3699,100.0,74.66,-10.53,-22.49,-7.77,-14.17,1,894.3,493.52,-81.21,0,,,Rice,,1703.0,,1,22892.03,65000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hoovina Hadagali (Bellary),Bellary,Hoovina Hadagali,14.8,75.9333,2024-07-02,2024-08-24,2024-09-19,Kharif,2024,0.1064,0.2587,,False,-0.1145,-0.2313,100.0,42.29,-11.54,-19.97,,,1,574.4,337.48,-70.2,0,,,Rice,,4113.0,,1,35443.24,65000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Gudur (Raichur),Raichur,Gudur,16.2283,76.8283,2024-07-11,2024-09-04,2024-10-01,Kharif,2024,0.2939,0.7207,0.4268,True,-0.4085,-0.6688,0.0,7.63,,,,,0,503.3,386.58,-30.19,0,,,Rice,,3755.0,,3,106392.07,142000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Maski (Raichur),Raichur,Maski,15.96,76.66,2024-07-09,2024-09-02,2024-09-29,Kharif,2024,0.1597,0.259,,False,-0.1508,-0.2331,100.0,100.0,-8.08,-16.52,-7.46,-15.1,1,397.3,346.31,-14.72,0,,,Rice,,3755.0,,4,119872.41,185000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Challakere (Chitradurga),Chitradurga,Challakere,14.3167,76.65,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.2506,0.254,,False,-0.2944,-0.2731,0.0,63.52,,,-7.54,-14.73,1,300.0,236.72,-26.73,0,,,Rice,,2669.0,,4,125541.18,230000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hiriyur (Chitradurga),Chitradurga,Hiriyur,13.945,76.6183,2024-07-06,2024-08-29,2024-09-25,Kharif,2024,0.0512,-0.015,,False,-0.0452,0.0182,100.0,100.0,-7.57,-14.55,-8.01,-15.15,1,382.1,271.65,-40.66,0,,,Rice,,2669.0,,3,108932.14,135000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Holalkere (Chitradurga),Chitradurga,Holalkere,14.0333,76.1833,2024-07-01,2024-08-24,2024-09-19,Kharif,2024,0.3467,-0.0343,,False,-0.326,0.0584,87.95,100.0,-8.75,-16.45,-9.3,-16.16,1,487.3,359.1,-35.7,0,,,Rice,,2669.0,,4,125076.12,230000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Hosadurga (Chitradurga),Chitradurga,Hosadurga,13.8,76.2833,2024-07-03,2024-08-26,2024-09-20,Kharif,2024,0.1092,0.3422,,False,-0.0998,-0.3446,100.0,61.83,-5.97,-14.89,-6.46,-15.45,1,430.4,321.26,-33.97,0,,,Rice,,2669.0,,1,40838.98,65000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Molakalmuru (Chitradurga),Chitradurga,Molakalmuru,14.7333,76.75,2024-07-08,2024-09-02,2024-09-28,Kharif,2024,0.2195,0.3773,,False,-0.2049,-0.3561,100.0,72.76,-8.78,-15.78,-8.08,-14.96,1,289.4,239.67,-20.75,0,,,Rice,,2669.0,,2,44507.83,100000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Harihara (Davanagere),Davanagere,Harihara,14.5167,75.8,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.3883,-0.002,,False,-0.3438,0.0234,100.0,100.0,-8.46,-15.92,-8.78,-16.62,1,561.1,419.53,-33.74,0,,,Rice,,3810.0,,2,72234.26999999999,100000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Channagiri (Davanagere),Davanagere,Channagiri,14.0267,75.9283,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.1971,0.431,,False,-0.1908,-0.436,100.0,0.0,-5.16,-14.19,,,1,603.8,423.25,-42.66,0,,,Rice,,3810.0,,1,41127.02,42000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Honnali (Davanagere),Davanagere,Honnali,14.2467,75.6433,2024-06-22,2024-08-15,2024-09-10,Kharif,2024,-0.0033,0.3392,,False,0.0216,-0.2977,100.0,97.84,-9.47,-16.38,-9.84,-16.89,1,539.4,439.82,-22.64,0,,,Rice,,3810.0,,3,18484.48,127000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Jagalur (Davanagere),Davanagere,Jagalur,14.5333,76.35,2024-07-05,2024-08-28,2024-09-24,Kharif,2024,0.0383,0.5658,,False,-0.0451,-0.5279,100.0,14.78,-10.44,-20.19,,,1,365.9,348.0,-5.14,0,,,Rice,,3810.0,,3,11257.5,142000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Nyamathi (Davanagere),Davanagere,Nyamathi,14.15,75.5833,2024-06-24,2024-08-17,2024-09-11,Kharif,2024,-0.0176,0.5975,,False,0.0353,-0.5295,100.0,72.2,-10.15,-19.6,-7.36,-13.94,1,557.1,507.89,-9.69,0,,,Rice,,3810.0,,2,0.0,115000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
