village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,ndvi_reliable,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,pmfby_claims_reported,pmfby_claim_amount_inr,pmfby_sum_insured_inr,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict,fraud_label,fraud_confidence,fraud_reason,llm_explanation,llm_is_simulated
Indi (Vijayapura),Vijayapura,Indi,17.175,75.9533,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0218,0.2981,,False,-0.0003,-0.2893,100.0,99.71,-7.11,-14.39,-6.68,-14.11,1,694.5,369.77,-87.82,0,,,Rice,,3394.0,,3,48006.18,119000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.43, threshold=-0.5), contradicting crop loss claim.",The claim is labeled **INCONCLUSIVE**. Because NDVI was unreliable (cloud,False
Muddebihal (Vijayapura),Vijayapura,Muddebihal,16.3333,76.1333,2024-06-28,2024-08-20,2024-09-15,Kharif,2024,0.1117,0.3319,,False,-0.1174,-0.3461,100.0,43.36,-6.41,-13.95,,,1,522.0,310.71,-68.0,0,,,Rice,,3394.0,,2,36691.23,85000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,16.5667,75.9667,2024-06-30,2024-08-22,2024-09-18,Kharif,2024,0.1708,0.3452,,False,-0.154,-0.366,100.0,52.45,-7.96,-15.53,-7.6,-14.22,1,498.0,351.53,-41.67,0,,,Rice,,3394.0,,1,62042.04,65000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.36, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**.  
Because NDVI was unreliable (cloud cover > 50 %), SAR VV back",False
Sindgi (Vijayapura),Vijayapura,Sindgi,16.9167,76.2333,2024-06-22,2024-08-14,2024-09-08,Kharif,2024,0.0813,0.1851,,False,-0.064,-0.1942,100.0,53.98,-5.89,-15.21,-5.6,-14.82,1,612.9,314.49,-94.89,0,,,Rice,,3394.0,,3,82728.43,127000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.29, threshold=-0.5), contradicting crop loss claim.",,False
Ron (Gadag),Gadag,Ron,15.6833,75.7333,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.1358,0.2652,,False,-0.1066,-0.3174,100.0,39.48,-8.73,-16.96,,,1,477.4,328.26,-45.43,0,,,Rice,,3106.0,,2,25797.54,70000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Mundargi (Gadag),Gadag,Mundargi,15.2083,75.8833,2024-07-02,2024-08-26,2024-09-20,Kharif,2024,0.0919,0.0422,,False,-0.0993,-0.0314,100.0,100.0,-8.3,-14.72,-7.24,-13.46,1,372.0,278.52,-33.56,0,,,Rice,,3106.0,,4,113769.22,200000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=1.06, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation change value measured 1.06 dB,",False
Nargund (Gadag),Gadag,Nargund,15.7167,75.3833,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0145,0.2238,,False,0.0075,-0.2242,100.0,89.64,-7.44,-15.32,-7.28,-14.84,1,470.6,328.04,-43.46,0,,,Rice,,3106.0,,2,41090.55,77000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.16, threshold=-0.5), contradicting crop loss claim.",The,False
Shirhatti (Gadag),Gadag,Shirhatti,15.2333,75.5667,2024-07-01,2024-08-24,2024-09-18,Kharif,2024,0.0719,0.1925,,False,-0.0739,-0.1644,100.0,100.0,-8.94,-17.0,-7.96,-14.07,1,506.8,360.41,-40.62,0,,,Rice,,3106.0,,1,17589.02,42000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.98, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because more than 50 % of the area was cloud‑contaminated, so SAR VV backscatter was used as the vegetation proxy. The vegetation change value was 0.98 dB, and the rainfall deficit was –40.62 %. No",False
Ranebennur (Haveri),Haveri,Ranebennur,14.62,75.63,2024-06-22,2024-08-16,2024-09-10,Kharif,2024,-0.0001,0.2048,,False,0.0282,-0.2163,100.0,83.92,-6.11,-14.4,-5.9,-14.17,1,596.2,416.93,-43.0,0,,,Rice,,2091.0,,1,13316.39,42000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.21, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**. Because NDVI was unreliable due to over 50 % cloud cover, SAR VV backscatter was used as the vegetation",False
Byadgi (Haveri),Haveri,Byadgi,14.6733,75.4867,2024-06-24,2024-08-18,2024-09-12,Kharif,2024,0.2142,0.1457,,False,-0.2103,-0.1194,100.0,100.0,-6.92,-14.85,-6.28,-14.26,1,672.3,390.26,-72.27,0,,,Rice,,2091.0,,4,164268.19,230000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.64, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50%, so SAR VV backscatter was used as the vegetation proxy. The vegetation change value was 0.64 dB, and the rainfall deficit was –72.27 %. No KSDMA drought declaration is available, and DES historical",False
Hangal (Haveri),Haveri,Hangal,14.7633,75.1233,2024-06-20,2024-08-14,2024-09-08,Kharif,2024,0.1554,0.0028,,False,-0.1481,0.0272,100.0,100.0,-6.56,-14.72,-5.51,-13.74,1,794.2,684.53,-16.02,0,,,Rice,,2091.0,,1,17561.86,50000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=1.05, threshold=-0.5), contradicting crop loss claim.",The claim is,False
Hirekerur (Haveri),Haveri,Hirekerur,14.4567,75.3933,2024-06-26,2024-08-20,2024-09-15,Kharif,2024,0.0728,0.4563,,False,-0.0534,-0.4309,100.0,31.49,-7.1,-14.93,,,1,639.8,465.92,-37.32,0,,,Rice,,2091.0,,3,68252.57,157000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is marked as **IN,False
Bellary Town (Bellary),Bellary,Bellary Town,15.1394,76.9214,2024-07-08,2024-09-01,2024-09-28,Kharif,2024,0.2712,0.1367,,False,-0.2995,-0.1414,26.01,100.0,,,-3.74,-13.1,1,349.1,268.86,-29.84,0,,,Rice,,4113.0,,2,59246.11,77000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Hospet (Bellary),Bellary,Hospet,15.2689,76.3909,2024-07-05,2024-08-28,2024-09-22,Kharif,2024,0.0985,0.2455,,False,-0.0934,-0.2676,100.0,15.63,-6.11,-13.52,,,1,357.9,265.14,-34.99,0,,,Rice,,4113.0,,4,113902.61,192000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Sandur (Bellary),Bellary,Sandur,15.0833,76.55,2024-07-10,2024-09-03,2024-09-30,Kharif,2024,0.0833,0.2726,,False,-0.0569,-0.2423,100.0,98.05,-7.32,-15.54,-5.52,-12.98,1,406.7,356.03,-14.23,0,,,Rice,,4113.0,,3,0.0,142000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=1.80, threshold=-0.5), contradicting crop loss claim.","The claim is labeled INCONCLUSIVE. NDVI was unreliable because cloud cover exceeded 50%, so SAR VV backscatter was used as the vegetation proxy, indicating a vegetation change of 1.80 dB. Rainfall deficit was –14.23 %, with",False
Siruguppa (Bellary),Bellary,Siruguppa,15.6333,76.8967,2024-07-12,2024-09-05,2024-10-01,Kharif,2024,0.0864,0.4161,,False,-0.0893,-0.4067,100.0,0.0,-7.7,-16.14,,,1,383.8,315.79,-21.54,0,,,Rice,,4113.0,,2,0.0,77000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Shorapur (Yadgir),Yadgir,Shorapur,16.52,76.76,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.08,0.2432,,False,-0.0832,-0.2405,100.0,88.88,-7.15,-15.35,-6.68,-14.97,1,733.1,354.6,-106.74,0,,,Rice,,3642.0,,2,105553.88,115000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.47, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**. Because cloud cover exceeded 50%, NDVI was unreliable, so SAR VV backscatter",False
Shahapur (Yadgir),Yadgir,Shahapur,16.6933,76.8433,2024-06-18,2024-08-12,2024-09-06,Kharif,2024,0.1675,0.3512,,False,-0.1688,-0.3418,100.0,90.98,-6.14,-15.28,-5.43,-14.6,1,689.5,371.75,-85.47,0,,,Rice,,3642.0,,2,86241.66,115000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.71, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50%, so SAR VV backscatter was used as the vegetation proxy. The vegetation change value was 0.71 dB, and the rainfall deficit was –85.47 %. Drought declaration status and historical yield loss data are not available.",False
Hunasagi (Yadgir),Yadgir,Hunasagi,16.35,76.4667,2024-06-25,2024-08-20,2024-09-15,Kharif,2024,0.1001,0.6924,,False,-0.0741,-0.6307,100.0,7.59,-10.45,-18.79,,,1,537.7,332.54,-61.69,0,,,Rice,,3642.0,,4,134608.44,177000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled INCONCLUSIVE. Because NDVI was unreliable due to cloud cover, SAR VV backscatter was used as the vegetation proxy, but the vegetation change value is not available. The rainfall deficit is –61.69",False
Surapura (Yadgir),Yadgir,Surapura,16.4333,76.8,2024-06-22,2024-08-16,2024-09-10,Kharif,2024,0.0372,0.1243,,False,-0.0185,-0.0888,100.0,100.0,-7.4,-17.66,-9.59,-17.45,1,616.3,350.93,-75.62,0,,,Rice,,3642.0,,1,34482.52,65000,TRUE,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,"Signals are mixed, partially missing, or do not cross deterministic thresholds for confident classification.",,False
Jamkhandi (Bagalkot),Bagalkot,Jamkhandi,16.5,75.2833,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.0738,0.4793,,False,-0.071,-0.5084,100.0,5.27,-8.82,-15.74,,,1,519.6,338.17,-53.65,0,,,Rice,,3394.0,,2,47522.28,100000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is labeled INCONCLUSIVE. Because NDVI was unreliable (cloud cover >50 ,False
Badami (Bagalkot),Bagalkot,Badami,15.9167,75.6833,2024-07-01,2024-08-25,2024-09-20,Kharif,2024,-0.0485,0.2292,,False,0.0767,-0.2266,100.0,82.44,-9.19,-16.5,-9.38,-16.11,1,514.7,318.52,-61.59,0,,,Rice,,3394.0,,1,42598.62,65000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.19, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**.  
Because NDVI was unreliable (cloud cover > 50 %), SAR VV backscatter was used as the vegetation proxy.  
The vegetation signal decreased by –0.19 dB, rainfall was –61.59",False
Bilgi (Bagalkot),Bagalkot,Bilgi,16.35,75.6167,2024-06-30,2024-08-24,2024-09-18,Kharif,2024,0.2158,0.3475,,False,-0.2157,-0.3557,100.0,12.07,-7.65,-16.13,,,1,492.7,342.73,-43.76,0,,,Rice,,3394.0,,1,22731.37,50000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is marked as INCONCLUSIVE. Because NDVI was unreliable due to over 50 %,False
Mudhol (Bagalkot),Bagalkot,Mudhol,16.3333,75.2833,2024-06-26,2024-08-18,2024-09-12,Kharif,2024,0.0723,0.2925,,False,-0.0638,-0.3065,100.0,30.69,-6.62,-14.26,,,1,544.3,330.37,-64.75,0,,,Rice,,3394.0,,2,68039.11,85000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Shiggaon (Haveri),Haveri,Shiggaon,14.9917,75.225,2024-06-19,2024-08-13,2024-09-07,Kharif,2024,0.1021,0.2972,,False,-0.1053,-0.2856,100.0,99.62,-6.85,-14.72,-6.48,-14.19,1,648.9,451.94,-43.58,0,,,Rice,,2091.0,,4,107296.93,185000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.37, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**.  
Because NDVI was unreliable (cloud cover >",False
