village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end
Hunasagi (Yadgir),16.3500,76.4667,2024-06-25,2024-08-20,2024-09-15
Surapura (Yadgir),16.4333,76.8000,2024-06-22,2024-08-16,2024-09-10
Jamkhandi (Bagalkot),16.5000,75.2833,2024-06-28,2024-08-22,2024-09-16
Badami (Bagalkot),15.9167,75.6833,2024-07-01,2024-08-25,2024-09-20
Bilgi (Bagalkot),16.3500,75.6167,2024-06-30,2024-08-24,2024-09-18
Mudhol (Bagalkot),16.3333,75.2833,2024-06-26,2024-08-18,2024-09-12
Shiggaon (Haveri),14.9917,75.2250,2024-06-19,2024-08-13,2024-09-07
Hubballi Rural (Dharwad),15.3647,75.1240,2024-07-02,2024-08-26,2024-09-20
Kalghatgi (Dharwad),15.1833,74.9667,2024-07-05,2024-08-30,2024-09-24
Jewargi (Kalaburagi),17.0167,76.7833,2024-06-16,2024-08-08,2024-09-02
Chittapur (Kalaburagi),17.1167,76.6500,2024-06-14,2024-08-06,2024-09-01
Shahabad (Kalaburagi),17.3333,76.9333,2024-06-20,2024-08-12,2024-09-08
Hagaribommanahalli (Bellary),15.0383,76.2117,2024-07-06,2024-08-28,2024-09-24
Kudligi (Bellary),14.9033,76.3867,2024-07-08,2024-09-01,2024-09-28
Kampli (Bellary),15.4000,76.6000,2024-07-04,2024-08-26,2024-09-21
Humnabad (Bidar),17.7667,76.9333,2024-06-16,2024-08-10,2024-09-04
Basavakalyan (Bidar),17.8700,76.9500,2024-06-14,2024-08-08,2024-09-02
Bhalki (Bidar),18.0483,76.3233,2024-06-12,2024-08-05,2024-08-30
Aurad (Bidar),17.4667,77.2167,2024-06-18,2024-08-12,2024-09-06
Hoovina Hadagali (Bellary),14.8000,75.9333,2024-07-02,2024-08-24,2024-09-19
Gudur (Raichur),16.2283,76.8283,2024-07-11,2024-09-04,2024-10-01
Maski (Raichur),15.9600,76.6600,2024-07-09,2024-09-02,2024-09-29
Challakere (Chitradurga),14.3167,76.6500,2024-07-04,2024-08-27,2024-09-22
Hiriyur (Chitradurga),13.9450,76.6183,2024-07-06,2024-08-29,2024-09-25
Holalkere (Chitradurga),14.0333,76.1833,2024-07-01,2024-08-24,2024-09-19
Hosadurga (Chitradurga),13.8000,76.2833,2024-07-03,2024-08-26,2024-09-20
Molakalmuru (Chitradurga),14.7333,76.7500,2024-07-08,2024-09-02,2024-09-28
Harihara (Davanagere),14.5167,75.8000,2024-06-25,2024-08-18,2024-09-12
Channagiri (Davanagere),14.0267,75.9283,2024-06-28,2024-08-22,2024-09-16
Honnali (Davanagere),14.2467,75.6433,2024-06-22,2024-08-15,2024-09-10
Jagalur (Davanagere),14.5333,76.3500,2024-07-05,2024-08-28,2024-09-24
Nyamathi (Davanagere),14.1500,75.5833,2024-06-24,2024-08-17,2024-09-11
Tiptur (Tumakuru),13.2556,76.4783,2024-07-02,2024-08-25,2024-09-20
Kunigal (Tumakuru),13.0233,77.0367,2024-07-05,2024-08-28,2024-09-23
Madhugiri (Tumakuru),13.6600,77.2100,2024-07-08,2024-09-01,2024-09-27
Sira (Tumakuru),13.7433,76.9033,2024-07-04,2024-08-27,2024-09-22
Pavagada (Tumakuru),14.1000,77.2833,2024-07-10,2024-09-03,2024-09-30
Gubbi (Tumakuru),13.3117,76.9383,2024-07-03,2024-08-26,2024-09-21
Turuvekere (Tumakuru),13.1600,76.6667,2024-07-01,2024-08-23,2024-09-18
Chikkanayakanahalli (Tumakuru),13.4167,76.6167,2024-07-02,2024-08-25,2024-09-19
Bhadravati (Shivamogga),13.8400,75.7000,2024-06-18,2024-08-10,2024-09-05
Shikaripura (Shivamogga),14.2700,75.3500,2024-06-20,2024-08-14,2024-09-08
Soraba (Shivamogga),14.3833,75.1000,2024-06-15,2024-08-08,2024-09-02
Sagar (Shivamogga),14.1667,75.0333,2024-06-16,2024-08-09,2024-09-04
Thirthahalli (Shivamogga),13.7000,75.2333,2024-06-12,2024-08-05,2024-09-01
Nanjangud (Mysuru),12.1167,76.6833,2024-06-25,2024-08-18,2024-09-14
Hunsur (Mysuru),12.3100,76.2900,2024-06-22,2024-08-15,2024-09-10
Piriyapatna (Mysuru),12.3400,76.1000,2024-06-20,2024-08-12,2024-09-08
T. Narasipura (Mysuru),12.2133,76.9033,2024-06-28,2024-08-20,2024-09-16
Heggadadevankote (Mysuru),11.9167,76.3333,2024-06-24,2024-08-16,2024-09-12
Maddur (Mandya),12.5833,77.0500,2024-07-02,2024-08-24,2024-09-20
Malavalli (Mandya),12.3867,77.0567,2024-07-05,2024-08-28,2024-09-24
Pandavapura (Mandya),12.4933,76.6667,2024-06-28,2024-08-21,2024-09-17
Krishnarajpet (Mandya),12.6600,76.4900,2024-06-30,2024-08-22,2024-09-18
Kollegal (Chamarajanagar),12.1550,77.1183,2024-07-06,2024-08-30,2024-09-26
Gundlupet (Chamarajanagar),11.8000,76.6833,2024-06-26,2024-08-19,2024-09-15
Channarayapatna (Hassan),12.9033,76.3900,2024-07-01,2024-08-24,2024-09-20
Arsikere (Hassan),13.3133,76.2567,2024-06-28,2024-08-20,2024-09-16
Holenarasipura (Hassan),12.7900,76.2400,2024-06-26,2024-08-18,2024-09-14
Kadur (Chikkamagaluru),13.5500,76.0100,2024-06-25,2024-08-17,2024-09-12
Tarikere (Chikkamagaluru),13.7167,75.8167,2024-06-22,2024-08-15,2024-09-10
Gauribidanur (Chikkaballapur),13.6117,77.5183,2024-07-04,2024-08-27,2024-09-22
