state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Karnataka,Chikkaballapur,Chickkaballapura APMC,Ginger(Dry),Other,Local,29/08/2026,6000,7000,6500
Karnataka,Chikkaballapur,Chickkaballapura APMC,Drumstick,Drumstick,Local,29/08/2026,2400,2600,2500
Karnataka,Haveri,Hanagal APMC,Paddy(Common),Paddy,FAQ,29/08/2026,2450,2800,2800
Karnataka,Gadag,Laxmeshwar APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,29/08/2026,2015,8289,7745
Karnataka,Gadag,Laxmeshwar APMC,Green Gram(Moong)(Whole),Green (Whole),Non-FAQ,29/08/2026,1285,9049,7307
Karnataka,Udupi,Udupi APMC,Sweet Potato,Sweet Potato,Local,29/08/2026,5400,5500,5500
Karnataka,Davangere,Honnali APMC,Cowpea(Veg),Cowpea (Veg),Medium,29/08/2026,3500,4200,4000
Karnataka,Davangere,Honnali APMC,Cabbage,Cabbage,Medium,29/08/2026,500,600,550
Karnataka,Davangere,Honnali APMC,Ladies Finger,Ladies Finger,Medium,29/08/2026,1200,1800,1700
Karnataka,Davangere,Honnali APMC,Cucumbar(Kheera),Cucumbar,Medium,29/08/2026,1000,1200,1100
Karnataka,Chamarajanagar,Gundlupet APMC,Sunflower/Sunflower Seed,Other,Local,29/08/2026,7500,7800,7500
Karnataka,Chamarajanagar,Gundlupet APMC,Ragi(Finger Millet),Local,Local,29/08/2026,3250,3250,3250
Karnataka,Chamarajanagar,Gundlupet APMC,Green Chilli,Green Chilly,Local,29/08/2026,4695,4700,4695
Karnataka,Chamarajanagar,Gundlupet APMC,Jowar(Sorghum),Jowar Hybrid,Local,29/08/2026,1900,1900,1900
Karnataka,Koppal,Kanakagiri APMC,Cotton,Narma BT Cotton,Non-FAQ,29/08/2026,9050,9450,9300
Karnataka,Bengaluru South,Ramanagara APMC,Cauliflower,Cauliflower,Local,29/08/2026,2000,3000,2500
Karnataka,Bengaluru South,Ramanagara APMC,Bitter gourd,Bitter Gourd,Local,29/08/2026,3200,4000,3500
Karnataka,Kodagu,Somvarpet APMC,Black pepper,Black Pepper,Grade Range-1,29/08/2026,40000,55000,55000
Karnataka,Kodagu,Somvarpet APMC,Ginger(Green),Green Ginger,Grade Range-1,29/08/2026,1666,2000,2000
Karnataka,Shivamogga,APMC THIRTHAHALLI,Arecanut(Betelnut/Supari),EDI,Local,29/08/2026,37899,53219,51809
Karnataka,Bengaluru,Bengaluru APMC,Rice,Fine,Medium,29/08/2026,6000,7000,6500
Karnataka,Bengaluru,Bengaluru APMC,Rice,Medium,Medium,29/08/2026,5000,6000,5500
Karnataka,Bengaluru,Bengaluru APMC,Black pepper,Other,Medium,29/08/2026,70500,78000,74250
Karnataka,Bengaluru,Bengaluru APMC,Potato,Local,Medium,29/08/2026,1200,2200,1800
Karnataka,Bengaluru,Bengaluru APMC,Avare Dal,Avare (Whole),Medium,29/08/2026,7800,8500,8150
Karnataka,Bengaluru,Bengaluru APMC,Maize,Hybrid/Local,FAQ,29/08/2026,2900,3000,2950
Karnataka,Bengaluru,Bengaluru APMC,Ragi(Finger Millet),Fine,FAQ,29/08/2026,4800,5400,5100
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Cabbage,Cabbage,Local,29/08/2026,1800,2000,1900
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,29/08/2026,2500,3000,2800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Apple,Apple,Large,29/08/2026,11000,20000,16000
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Banana,Nendra Bale,Local,29/08/2026,1000,3800,2400
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Papaya,Papaya,Local,29/08/2026,1000,1800,1400
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Green Chilli,Green Chilly,Local,29/08/2026,3500,4000,3800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Beans,Beans (Whole),Local,29/08/2026,4000,5000,4500
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,White Pumpkin,White Pumpkin,Local,29/08/2026,1300,1600,1500
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Sweet Pumpkin,Sweet Pumpkin,Local,29/08/2026,800,1000,900
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Peas Wet,Peas Wet,Local,29/08/2026,8000,10000,9000
Karnataka,Mandya,Srirangapattana APMC,Gur(Jaggery),Kurikatu,Local,29/08/2026,4500,5450,4500
Karnataka,Davangere,Davangere APMC,Paddy(Common),Paddy Medium,Local,29/08/2026,2300,2900,2630
Karnataka,Davangere,Davangere APMC,Rice,Broken Rice,Local,29/08/2026,2200,2200,2200
Karnataka,Davangere,Davangere APMC,Garlic,Garlic,Local,29/08/2026,13000,15700,14500
Karnataka,Davangere,Davangere APMC,Raddish,Raddish,Local,29/08/2026,700,2200,1200
Karnataka,Davangere,Davangere APMC,Banana,Pachha Bale,Local,29/08/2026,1000,3000,2400
Karnataka,Davangere,Davangere APMC,Apple,Apple,Local,29/08/2026,10000,20000,15000
Karnataka,Davangere,Davangere APMC,Tomato,Tomato,Local,29/08/2026,100,700,400
Karnataka,Chamarajanagar,Chamarajanagar APMC,Brinjal,Round/Long,Local,29/08/2026,1200,2200,1700
Karnataka,Chamarajanagar,Chamarajanagar APMC,Green Chilli,Green Chilly,Local,29/08/2026,1600,2400,2000
Karnataka,Chamarajanagar,Chamarajanagar APMC,Coconut,Small,Local,29/08/2026,14000,27000,27000
Karnataka,Chikkaballapur,Chintamani APMC,Knool Khol,Knool Khol,Local,29/08/2026,1500,2500,2000
Karnataka,Chikkaballapur,Chintamani APMC,Beans,Beans (Whole),Local,29/08/2026,3000,5000,4000
Karnataka,Koppal,Kustagi APMC,Cowpea(Lobia/Karamani),Cowpea (Whole),Medium,29/08/2026,7000,7000,7000
Karnataka,Koppal,Kustagi APMC,Green Gram(Moong)(Whole),Local,FAQ,29/08/2026,9100,9350,9273
Karnataka,Koppal,Kustagi APMC,Cotton,Other,FAQ,29/08/2026,9200,9400,9333
Karnataka,Bellary,Ballari APMC,Jowar(Sorghum),Yellow,Non-FAQ,29/08/2026,2600,3015,2759
Karnataka,Bellary,Ballari APMC,Bajra(Pearl Millet/Cumbu),Hybrid,Non-FAQ,29/08/2026,2559,2751,2726
Karnataka,Bellary,Ballari APMC,Ragi(Finger Millet),Fine,Non-FAQ,29/08/2026,3100,3100,3100
Karnataka,Chitradurga,Hiriyur APMC,Ragi(Finger Millet),Local,Local,29/08/2026,3222,3222,3222
Karnataka,Raichur,Sindhanur APMC,Paddy(Common),Paddy RNR Old,FAQ,29/08/2026,2900,4100,3100
Karnataka,Raichur,Sindhanur APMC,Sunflower/Sunflower Seed,Sunflower,FAQ,29/08/2026,7600,8400,8000
Karnataka,Koppal,Gangavathi APMC,Groundnut,Other,Non-FAQ,29/08/2026,7171,7438,7438
Karnataka,Raichur,Raichur APMC,Groundnut,Shelled (Bunch),FAQ,29/08/2026,6169,8315,8315
Karnataka,Mysuru,Hunsur APMC,Cabbage,Cabbage,Local,29/08/2026,1238,1238,1238
Karnataka,Mysuru,Hunsur APMC,Tender Coconut,Tender Coconut,Local,29/08/2026,20000,20000,20000
Karnataka,Mysuru,Mysuru APMC,Grapes,Black,Medium,29/08/2026,8570,8570,8570
Karnataka,Vijayanagara,Kottur APMC,Maize,Hybrid/Local,Local,29/08/2026,1850,2729,1965
Karnataka,Bidar,Basava Kalayana APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,29/08/2026,5300,6160,5300
Karnataka,Bidar,Basava Kalayana APMC,Soyabean,Soyabeen,FAQ,29/08/2026,5800,6100,5800
Karnataka,Bengaluru South,Channapatna APMC,Tomato,Tomato,Local,29/08/2026,500,1000,750
Karnataka,Bengaluru South,Channapatna APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,29/08/2026,2500,3000,2700
Karnataka,Chitradurga,Chitradurga APMC,Arecanut(Betelnut/Supari),Rashi,Local,29/08/2026,51229,51529,51259
Karnataka,Yadgir,Yadgir APMC,Alasande Gram,Alasande Gram,Large,29/08/2026,7110,7110,7110
Karnataka,Hassan,Arasikere APMC,Coconut,Medium,Medium,29/08/2026,36000,36000,36000
Karnataka,Dakshina Kannada,Belthangdi APMC,Arecanut(Betelnut/Supari),Old Variety,Local,29/08/2026,47800,55000,52500
Karnataka,Mandya,Mandya APMC,Gur(Jaggery),Achhu,Local,29/08/2026,4500,5050,4800
Karnataka,Kolar,Bangarpet APMC,Paddy(Common),Paddy,Local,29/08/2026,2601,3000,2800
Karnataka,Kolar,Bangarpet APMC,Green Gram Dal(Moong Dal),Green Gram Dal,Local,29/08/2026,8760,9800,9500
Karnataka,Kolar,Bangarpet APMC,Capsicum,Capsicum,Local,29/08/2026,1500,2300,2000
Karnataka,Kolar,Bangarpet APMC,Red gram split/Arhar dal/Tur dal,Arhar Dal(Tur),Local,29/08/2026,11108,12000,11700
Karnataka,Kolar,Bangarpet APMC,Black Gram Dal(Urd Dal),Black Gram Dal,Local,29/08/2026,7133,9300,9000
Karnataka,Raichur,Lingasugur APMC,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,29/08/2026,6100,6100,6100
Karnataka,Bidar,Bidar APMC,Rice,CR 1009 (Coarse) Boiled,Small,29/08/2026,4600,5600,5200
Karnataka,Bidar,Bidar APMC,Bengal Gram(Gram)(Whole),Jawari/Local,Non-FAQ,29/08/2026,3891,6346,5638
Karnataka,Bidar,Bidar APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,29/08/2026,5555,8725,7779
Karnataka,Chikkaballapur,Chickkaballapura APMC,Onion,Beelary-Red,Local,29/08/2026,4500,5000,4800
Karnataka,Chikkaballapur,Chickkaballapura APMC,Ladies Finger,Ladies Finger,Local,29/08/2026,1800,2000,1900
Karnataka,Chikkamagaluru,Kadur APMC,Tomato,Tomato,Medium,29/08/2026,909,1040,979
Karnataka,Chikkamagaluru,Kadur APMC,Beans,Beans (Whole),Medium,29/08/2026,2775,2775,2775
Karnataka,Chikkamagaluru,Kadur APMC,Raddish,Raddish,Medium,29/08/2026,2081,2081,2081
Karnataka,Chikkamagaluru,Kadur APMC,Onion,Onion,Medium,29/08/2026,2775,3330,2775
Karnataka,Haveri,Hanagal APMC,Maize,Local,FAQ,29/08/2026,2600,2600,2600
Karnataka,Gadag,Laxmeshwar APMC,Alasande Gram,Alasande Gram,Small,29/08/2026,1669,8029,5420
Karnataka,Gadag,Laxmeshwar APMC,Mustard,Other,Non-FAQ,29/08/2026,7415,7415,7415
Karnataka,Gadag,Laxmeshwar APMC,Safflower,Safflower,Non-FAQ,29/08/2026,4000,5211,5097
Karnataka,Udupi,Udupi APMC,Potato,Potato,Local,29/08/2026,1200,1300,1300
Karnataka,Davangere,Honnali APMC,Rice,I.R.-64,Medium,29/08/2026,2600,2720,2635
Karnataka,Davangere,Honnali APMC,Arecanut(Betelnut/Supari),EDI,Medium,29/08/2026,26200,26200,26200
Karnataka,Chamarajanagar,Gundlupet APMC,Tomato,Tomato,Local,29/08/2026,900,1100,1000
Karnataka,Chamarajanagar,Gundlupet APMC,Kulthi(Horse Gram),Horse gram (Whole),Local,29/08/2026,4900,4900,4900
Karnataka,Koppal,Kanakagiri APMC,Sunflower/Sunflower Seed,Sunflower,Non-FAQ,29/08/2026,8400,8400,8400
Karnataka,Bengaluru South,Ramanagara APMC,Brinjal,Round,Local,29/08/2026,1600,2400,2000
Karnataka,Bengaluru South,Ramanagara APMC,Tomato,Tomato,Local,29/08/2026,800,1500,1200
Karnataka,Bengaluru South,Ramanagara APMC,Beans,Beans (Whole),Local,29/08/2026,5000,7000,6000
Karnataka,Bengaluru South,Ramanagara APMC,Carrot,Carrot,Local,29/08/2026,4000,5600,5000
Karnataka,Shivamogga,APMC THIRTHAHALLI,Arecanut(Betelnut/Supari),Gorabalu,Local,29/08/2026,34299,41739,39800
Karnataka,Shivamogga,APMC THIRTHAHALLI,Arecanut(Betelnut/Supari),Bette,Local,29/08/2026,52099,62409,58009
Karnataka,Bengaluru,Bengaluru APMC,Green Peas,Green Peas,Medium,29/08/2026,7000,10000,8500
Karnataka,Bengaluru,Bengaluru APMC,Black Gram Dal(Urd Dal),Black Gram Dal,Medium,29/08/2026,11500,16500,14000
Karnataka,Bengaluru,Bengaluru APMC,Ground Nut Seed,Ground Nut Seed,Medium,29/08/2026,14500,16500,15500
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Mousambi(Sweet Lime),Mousambi,Large,29/08/2026,3000,4000,3500
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Alsandikai,Alsandikai,Local,29/08/2026,2500,3000,2800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Drumstick,Drumstick,Local,29/08/2026,4000,5000,4500
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Banana - Green,Banana - Green,Local,29/08/2026,2200,2400,2300
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Sweet Potato,Sweet Potato,Local,29/08/2026,3000,3400,3200
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Ladies Finger,Ladies Finger,Local,29/08/2026,2000,2400,2200
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Beetroot,Beetroot,Local,29/08/2026,2500,3000,2800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Cucumbar(Kheera),Cucumbar,Local,29/08/2026,2600,3000,2800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,29/08/2026,3600,4000,3800
Karnataka,Belagavi,Kudchi APMC,Maize,Hybrid/Local,Local,29/08/2026,2600,2700,2650
Karnataka,Davangere,Davangere APMC,Foxtail Millet(Navane),Navane Hybrid,Local,29/08/2026,4000,4000,4000
Karnataka,Davangere,Davangere APMC,Water Melon,Water Melon,Local,29/08/2026,1000,2000,1500
Karnataka,Davangere,Davangere APMC,Bottle gourd,Bottle Gourd,Local,29/08/2026,800,2500,1600
Karnataka,Davangere,Davangere APMC,Carrot,Carrot,Local,29/08/2026,1000,3300,2100
Karnataka,Davangere,Davangere APMC,Cabbage,Cabbage,Local,29/08/2026,800,2300,1300
Karnataka,Davangere,Davangere APMC,Pineapple,Pine Apple,Local,29/08/2026,2000,3000,2500
Karnataka,Davangere,Davangere APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,29/08/2026,900,2200,1800
Karnataka,Chamarajanagar,Chamarajanagar APMC,Ragi(Finger Millet),Local,Local,29/08/2026,2800,3200,2800
Karnataka,Chamarajanagar,Chamarajanagar APMC,Brinjal,Other,Local,29/08/2026,800,1800,1300
Karnataka,Chamarajanagar,Chamarajanagar APMC,Tomato,Tomato,Local,29/08/2026,800,1000,900
Karnataka,Chamarajanagar,Chamarajanagar APMC,Beans,Beans (Whole),Local,29/08/2026,2500,4000,3200
Karnataka,Kalaburagi,Kalaburagi APMC,Rice,Coarse,Local,29/08/2026,3350,4100,3900
Karnataka,Kalaburagi,Kalaburagi APMC,Bengal Gram(Gram)(Whole),Average (Whole),Local,29/08/2026,4500,6350,6000
Karnataka,Kalaburagi,Kalaburagi APMC,Red gram/Arhar/Tur(whole),Arhar (Whole),Local,29/08/2026,7000,8600,8000
Karnataka,Kalaburagi,Kalaburagi APMC,Safflower,Safflower,Local,29/08/2026,4000,5300,5000
Karnataka,Kalaburagi,Kalaburagi APMC,Gur(Jaggery),Other,Local,29/08/2026,5000,6400,5500
Karnataka,Chikkaballapur,Chintamani APMC,Cucumbar(Kheera),Cucumbar,Local,29/08/2026,400,600,500
Karnataka,Chikkaballapur,Chintamani APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,29/08/2026,1500,3000,2000
Karnataka,Chikkaballapur,Chintamani APMC,Rice,Sona,Local,29/08/2026,4820,6280,5000
Karnataka,Chikkaballapur,Chintamani APMC,Chilly Capsicum,Chilly Capsicum,Local,29/08/2026,1500,2500,2000
Karnataka,Chikkaballapur,Chintamani APMC,Ladies Finger,Ladies Finger,Local,29/08/2026,1500,2500,2000
Karnataka,Koppal,Kustagi APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,29/08/2026,6300,6300,6300
Karnataka,Bengaluru Rural,Doddaballapur APMC,Potato,Local,Medium,29/08/2026,2000,2400,2200
Karnataka,Bengaluru Rural,Doddaballapur APMC,Carrot,Other,Medium,29/08/2026,3500,4000,3700
Karnataka,Bengaluru Rural,Doddaballapur APMC,Brinjal,Brinjal,Medium,29/08/2026,2000,3000,2600
Karnataka,Bengaluru Rural,Doddaballapur APMC,Bitter gourd,Bitter Gourd,Medium,29/08/2026,3000,3500,3200
Karnataka,Bengaluru Rural,Doddaballapur APMC,Green Chilli,Green Chilly,Medium,29/08/2026,4000,4600,4300
Karnataka,Bengaluru Rural,Doddaballapur APMC,Cucumbar(Kheera),Cucumbar,Medium,29/08/2026,2000,2500,2200
Karnataka,Koppal,Gangavathi APMC,Paddy(Common),Sona Masuri (OLD),Non-FAQ,29/08/2026,3500,3861,3667
Karnataka,Haveri,Ranebennur APMC,Ragi(Finger Millet),Local,FAQ,29/08/2026,3593,3593,3593
Karnataka,Raichur,Raichur APMC,Cotton,H4,FAQ,29/08/2026,9100,9100,9100
Karnataka,Kolar,Srinivasapur APMC,Tomato,Tomato,Local,29/08/2026,400,933,533
Karnataka,Mysuru,Hunsur APMC,Carrot,Carrot,Local,29/08/2026,1238,1238,1238
Karnataka,Mysuru,Mysuru APMC,Mousambi(Sweet Lime),Mousambi,Medium,29/08/2026,4125,5060,5000
Karnataka,Vijayanagara,Kottur APMC,Ragi(Finger Millet),Feeds (Poultry Quality),Local,29/08/2026,3300,3300,3300
Karnataka,Bidar,Basava Kalayana APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,29/08/2026,5400,8000,7200
Karnataka,Bengaluru South,Channapatna APMC,Banana,Elakki Bale,Local,29/08/2026,4700,8000,7200
Karnataka,Bengaluru South,Channapatna APMC,Green Chilli,Green Chilly,Local,29/08/2026,4000,4500,4300
Karnataka,Yadgir,Yadgir APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,29/08/2026,5551,9810,7664
Karnataka,Yadgir,Yadgir APMC,Red gram/Arhar/Tur(whole),Red,FAQ,29/08/2026,8002,8002,8002
Karnataka,Kolar,Bangarpet APMC,Gur(Jaggery),Unde,Local,29/08/2026,4623,5000,4800
Karnataka,Kolar,Bangarpet APMC,Beans,Beans (Whole),Local,29/08/2026,3000,5000,4500
Karnataka,Kolar,Bangarpet APMC,Ginger(Green),Green Ginger,Local,29/08/2026,5000,8000,7000
Karnataka,Kolar,Bangarpet APMC,Potato,Local,Local,29/08/2026,800,2000,1500
Karnataka,Kolar,Bangarpet APMC,Beetroot,Beetroot,Local,29/08/2026,700,1700,1200
Karnataka,Kolar,Bangarpet APMC,Raddish,Raddish,Local,29/08/2026,1000,2200,1500
Karnataka,Raichur,Lingasugur APMC,Sunflower/Sunflower Seed,Sunflower,Non-FAQ,29/08/2026,8100,8100,8100
Karnataka,Bidar,Bidar APMC,Rice,Broken Rice,Small,29/08/2026,2100,3000,2600
Karnataka,Bidar,Bidar APMC,Jowar(Sorghum),Jowar ( White),Non-FAQ,29/08/2026,3500,5300,4700
Karnataka,Chikkaballapur,Chickkaballapura APMC,Beetroot,Beetroot,Local,29/08/2026,2000,2300,2100
Karnataka,Chikkaballapur,Chickkaballapura APMC,Capsicum,Capsicum,Local,29/08/2026,2000,2800,2400
Karnataka,Chikkaballapur,Chickkaballapura APMC,Knool Khol,Knool Khol,Local,29/08/2026,1000,1500,1200
Karnataka,Chikkaballapur,Chickkaballapura APMC,Cabbage,Cabbage,Local,29/08/2026,500,600,550
Karnataka,Belagavi,Bailahongal APMC,Bengal Gram(Gram)(Whole),Jawari/Local,Local,29/08/2026,5800,6300,6033
Karnataka,Gadag,Laxmeshwar APMC,Wheat,White,Non-FAQ,29/08/2026,2265,3065,2531
Karnataka,Davangere,Honnali APMC,Cauliflower,Cauliflower,Medium,29/08/2026,2500,3000,2850
Karnataka,Davangere,Honnali APMC,Beans,Beans (Whole),Medium,29/08/2026,1700,2700,2500
Karnataka,Davangere,Honnali APMC,Beetroot,Beetroot,Medium,29/08/2026,1800,2000,1900
Karnataka,Davangere,Honnali APMC,Ridgeguard(Tori),Ridgeguard(Tori),Medium,29/08/2026,1700,2400,2250
Karnataka,Davangere,Honnali APMC,Maize,Local,FAQ,29/08/2026,2000,2675,2295
Karnataka,Bengaluru South,Ramanagara APMC,Snakeguard,Snakeguard,Local,29/08/2026,2000,2800,2500
Karnataka,Bengaluru South,Ramanagara APMC,Cucumbar(Kheera),Cucumbar,Local,29/08/2026,1200,1600,1400
Karnataka,Bengaluru South,Ramanagara APMC,Green Avare(W),Green Avare (W),Local,29/08/2026,3000,4000,3600
Karnataka,Kodagu,Somvarpet APMC,Paddy(Common),Paddy Dappa,Grade Range-1,29/08/2026,2300,2300,2300
Karnataka,Bengaluru,Bengaluru APMC,Rice,Dappa,Medium,29/08/2026,3000,3100,3050
Karnataka,Bengaluru,Bengaluru APMC,Onion,Bangalore-Samall,Small,29/08/2026,2000,3000,2500
Karnataka,Bengaluru,Bengaluru APMC,Onion,Local,Medium,29/08/2026,3000,3500,3200
Karnataka,Bengaluru,Bengaluru APMC,Garlic,Garlic,Medium,29/08/2026,8000,26000,15000
Karnataka,Bengaluru,Bengaluru APMC,Turmeric,Turmeric Stick,Medium,29/08/2026,19000,23000,21000
Karnataka,Bengaluru,Bengaluru APMC,Gur(Jaggery),Mudde,Medium,29/08/2026,5800,5900,5850
Karnataka,Bengaluru,Bengaluru APMC,Kulthi(Horse Gram),Horse gram (Whole),Medium,29/08/2026,6000,6600,6300
Karnataka,Bengaluru,Bengaluru APMC,Wheat,Local,FAQ,29/08/2026,3200,4500,3850
Karnataka,Bengaluru,Bengaluru APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,29/08/2026,7200,8000,7600
Karnataka,Bengaluru,Bengaluru APMC,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,29/08/2026,2800,3200,3000
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Tomato,Tomato,Local,29/08/2026,1500,1700,1600
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Bitter gourd,Bitter Gourd,Local,29/08/2026,2500,3000,2800
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Bunch Beans,Bunch Beans,Local,29/08/2026,4000,5000,4400
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Karbuja(Musk Melon),Karbhuja,Local,29/08/2026,1000,1800,1600
Karnataka,Bengaluru,Binny Mill (FF&V) Bengaluru APMC,Pomegranate,Pomogranate,Large,29/08/2026,10000,16000,14000
