"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Karnataka","Bagalkote","Moong","Kharif","0.36","0.08","211.00"
"Karnataka","Bagalkote","Moong","Rabi","0.00","0.00","299.00"
"Karnataka","Bagalkote","Moong","Total","0.36","0.08","211.00"
"Karnataka","Bagalkote","Other Pulses","Kharif","0.01","0.00","326.00"
"Karnataka","Bagalkote","Other Pulses","Rabi","0.01","0.01","446.00"
"Karnataka","Bagalkote","Other Pulses","Total","0.03","0.01","385.00"
"Karnataka","Bagalkote","Total Pulses","Total","1.57","0.94","598.00"
"Karnataka","Bagalkote","Total Food Grains","Kharif","2.13","3.98","1869.00"
"Karnataka","Bagalkote","Total Food Grains","Rabi","1.32","1.84","1395.00"
"Karnataka","Bagalkote","Total Food Grains","Summer","0.07","0.40","5499.00"
"Karnataka","Bagalkote","Total Food Grains","Total","3.52","6.23","1767.00"
"Karnataka","Ballari","Rice","Kharif","0.87","3.59","4113.00"
"Karnataka","Ballari","Rice","Rabi","0.00","0.01","2842.00"
"Karnataka","Ballari","Rice","Summer","0.50","1.83","3684.00"
"Karnataka","Ballari","Rice","Total","1.37","5.44","3954.00"
"Karnataka","Ballari","Wheat","Rabi","0.00","0.00","1255.00"
"Karnataka","Ballari","Wheat","Total","0.00","0.00","1255.00"
"Karnataka","Ballari","Maize","Kharif","0.26","0.95","3688.00"
"Karnataka","Ballari","Maize","Rabi","0.06","0.26","4499.00"
"Karnataka","Ballari","Maize","Summer","0.01","0.04","4328.00"
"Karnataka","Ballari","Maize","Total","0.32","1.25","3849.00"
"Karnataka","Ballari","Jowar","Kharif","0.11","0.37","3362.00"
"Karnataka","Ballari","Jowar","Rabi","0.18","0.51","2823.00"
"Karnataka","Ballari","Jowar","Total","0.29","0.88","3028.00"
"Karnataka","Ballari","Bajra","Kharif","0.02","0.03","1676.00"
"Karnataka","Ballari","Bajra","Total","0.02","0.03","1676.00"
"Karnataka","Ballari","Ragi","Kharif","0.02","0.03","1366.00"
"Karnataka","Ballari","Ragi","Total","0.02","0.03","1366.00"
"Karnataka","Ballari","Small Millets","Kharif","0.03","0.02","513.00"
"Karnataka","Ballari","Small Millets","Total","0.03","0.02","513.00"
"Karnataka","Ballari","Shree Anna /Nutri Cereals","Kharif","0.18","0.44","2495.00"
"Karnataka","Ballari","Shree Anna /Nutri Cereals","Rabi","0.18","0.51","2823.00"
"Karnataka","Ballari","Shree Anna /Nutri Cereals","Total","0.36","0.95","2660.00"
"Karnataka","Ballari","Nutri/Coarse Cereals","Kharif","0.44","1.39","3203.00"
"Karnataka","Ballari","Nutri/Coarse Cereals","Rabi","0.24","0.77","3230.00"
"Karnataka","Ballari","Nutri/Coarse Cereals","Summer","0.01","0.04","4328.00"
"Karnataka","Ballari","Nutri/Coarse Cereals","Total","0.68","2.19","3226.00"
"Karnataka","Ballari","Cereals","Kharif","1.31","4.98","3810.00"
"Karnataka","Ballari","Cereals","Rabi","0.24","0.78","3223.00"
"Karnataka","Ballari","Cereals","Summer","0.51","1.87","3694.00"
"Karnataka","Ballari","Cereals","Total","2.06","7.63","3713.00"
"Karnataka","Ballari","Tur","Kharif","0.13","0.09","682.00"
"Karnataka","Ballari","Tur","Total","0.13","0.09","682.00"
"Karnataka","Ballari","Gram","Rabi","0.05","0.04","801.00"
"Karnataka","Ballari","Gram","Total","0.05","0.04","801.00"
"Karnataka","Ballari","Urad","Kharif","0.00","0.00","590.00"
"Karnataka","Ballari","Urad","Rabi","0.00","0.00","429.00"
"Karnataka","Ballari","Urad","Total","0.00","0.00","468.00"
"Karnataka","Ballari","Moong","Kharif","0.00","0.00","430.00"
"Karnataka","Ballari","Moong","Rabi","0.00","0.00","299.00"
"Karnataka","Ballari","Moong","Total","0.00","0.00","399.00"
"Karnataka","Ballari","Other Pulses","Kharif","0.00","0.00","595.00"
"Karnataka","Ballari","Other Pulses","Rabi","0.00","0.00","485.00"
"Karnataka","Ballari","Other Pulses","Total","0.01","0.00","537.00"
"Karnataka","Ballari","Total Pulses","Total","0.18","0.13","708.00"
"Karnataka","Ballari","Total Food Grains","Kharif","1.44","5.07","3529.00"
"Karnataka","Ballari","Total Food Grains","Rabi","0.30","0.82","2764.00"
"Karnataka","Ballari","Total Food Grains","Summer","0.51","1.87","3694.00"
"Karnataka","Ballari","Total Food Grains","Total","2.24","7.76","3465.00"
"Karnataka","Belagavi","Rice","Kharif","0.54","1.37","2561.00"
"Karnataka","Belagavi","Rice","Rabi","0.00","0.00","2842.00"
"Karnataka","Belagavi","Rice","Summer","0.00","0.00","3245.00"
"Karnataka","Belagavi","Rice","Total","0.54","1.38","2562.00"
"Karnataka","Belagavi","Wheat","Rabi","0.52","0.83","1592.00"
"Karnataka","Belagavi","Wheat","Total","0.52","0.83","1592.00"
"Karnataka","Belagavi","Maize","Kharif","1.51","6.25","4143.00"
"Karnataka","Belagavi","Maize","Rabi","0.79","3.09","3942.00"
"Karnataka","Belagavi","Maize","Summer","0.14","0.60","4362.00"
"Karnataka","Belagavi","Maize","Total","2.43","9.94","4091.00"
"Karnataka","Belagavi","Jowar","Kharif","0.07","0.14","1913.00"
"Karnataka","Belagavi","Jowar","Rabi","1.40","1.59","1137.00"
"Karnataka","Belagavi","Jowar","Total","1.47","1.73","1174.00"
"Karnataka","Belagavi","Bajra","Kharif","0.05","0.06","1320.00"
"Karnataka","Belagavi","Bajra","Total","0.05","0.06","1320.00"
"Karnataka","Belagavi","Ragi","Kharif","0.01","0.01","1124.00"
"Karnataka","Belagavi","Ragi","Total","0.01","0.01","1124.00"
"Karnataka","Belagavi","Small Millets","Kharif","0.00","0.00","605.00"
"Karnataka","Belagavi","Small Millets","Total","0.00","0.00","605.00"
"Karnataka","Belagavi","Shree Anna /Nutri Cereals","Kharif","0.13","0.21","1629.00"
"Karnataka","Belagavi","Shree Anna /Nutri Cereals","Rabi","1.40","1.59","1137.00"
"Karnataka","Belagavi","Shree Anna /Nutri Cereals","Total","1.53","1.80","1178.00"
"Karnataka","Belagavi","Nutri/Coarse Cereals","Kharif","1.64","6.46","3947.00"
"Karnataka","Belagavi","Nutri/Coarse Cereals","Rabi","2.19","4.69","2143.00"
"Karnataka","Belagavi","Nutri/Coarse Cereals","Summer","0.14","0.60","4362.00"
"Karnataka","Belagavi","Nutri/Coarse Cereals","Total","3.96","11.75","2965.00"
"Karnataka","Belagavi","Cereals","Kharif","2.17","7.84","3605.00"
"Karnataka","Belagavi","Cereals","Rabi","2.71","5.52","2038.00"
"Karnataka","Belagavi","Cereals","Summer","0.14","0.60","4359.00"
"Karnataka","Belagavi","Cereals","Total","5.02","13.95","2780.00"
"Karnataka","Belagavi","Tur","Kharif","0.13","0.06","462.00"
"Karnataka","Belagavi","Tur","Total","0.13","0.06","462.00"
"Karnataka","Belagavi","Gram","Rabi","0.79","0.59","747.00"
"Karnataka","Belagavi","Gram","Total","0.79","0.59","747.00"
"Karnataka","Belagavi","Urad","Kharif","0.26","0.15","575.00"
"Karnataka","Belagavi","Urad","Rabi","0.00","0.00","429.00"
"Karnataka","Belagavi","Urad","Total","0.26","0.15","572.00"
"Karnataka","Belagavi","Moong","Kharif","0.72","0.29","407.00"
"Karnataka","Belagavi","Moong","Rabi","0.00","0.00","299.00"
"Karnataka","Belagavi","Moong","Total","0.72","0.29","407.00"
"Karnataka","Belagavi","Other Pulses","Kharif","0.01","0.01","708.00"
"Karnataka","Belagavi","Other Pulses","Rabi","0.02","0.02","705.00"
"Karnataka","Belagavi","Other Pulses","Total","0.03","0.02","705.00"
"Karnataka","Belagavi","Total Pulses","Total","1.94","1.12","576.00"
"Karnataka","Belagavi","Total Food Grains","Kharif","3.30","8.35","2533.00"
"Karnataka","Belagavi","Total Food Grains","Rabi","3.53","6.13","1737.00"
"Karnataka","Belagavi","Total Food Grains","Summer","0.14","0.60","4359.00"
"Karnataka","Belagavi","Total Food Grains","Total","6.96","15.07","2165.00"
"Karnataka","Bengaluru Rural","Rice","Kharif","0.00","0.00","2911.00"
"Karnataka","Bengaluru Rural","Rice","Rabi","0.00","0.00","2842.00"
"Karnataka","Bengaluru Rural","Rice","Summer","0.00","0.00","3245.00"
"Karnataka","Bengaluru Rural","Rice","Total","0.00","0.00","2921.00"
"Karnataka","Bengaluru Rural","Maize","Kharif","0.04","0.13","3224.00"
"Karnataka","Bengaluru Rural","Maize","Rabi","0.00","0.00","3584.00"
"Karnataka","Bengaluru Rural","Maize","Summer","0.00","0.00","4328.00"
"Karnataka","Bengaluru Rural","Maize","Total","0.04","0.14","3264.00"
"Karnataka","Bengaluru Rural","Jowar","Kharif","0.01","0.02","1982.00"
"Karnataka","Bengaluru Rural","Jowar","Rabi","0.00","0.00","1113.00"
"Karnataka","Bengaluru Rural","Jowar","Total","0.01","0.02","1892.00"
"Karnataka","Bengaluru Rural","Bajra","Kharif","0.00","0.00","1290.00"
"Karnataka","Bengaluru Rural","Bajra","Total","0.00","0.00","1290.00"
"Karnataka","Bengaluru Rural","Ragi","Kharif","0.61","1.29","2109.00"
"Karnataka","Bengaluru Rural","Ragi","Total","0.61","1.29","2109.00"
"Karnataka","Bengaluru Rural","Small Millets","Kharif","0.00","0.00","1405.00"
"Karnataka","Bengaluru Rural","Small Millets","Total","0.00","0.00","1405.00"
"Karnataka","Bengaluru Rural","Shree Anna /Nutri Cereals","Kharif","0.62","1.31","2107.00"
"Karnataka","Bengaluru Rural","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","1113.00"
"Karnataka","Bengaluru Rural","Shree Anna /Nutri Cereals","Total","0.62","1.31","2106.00"
"Karnataka","Bengaluru Rural","Nutri/Coarse Cereals","Kharif","0.66","1.44","2177.00"
"Karnataka","Bengaluru Rural","Nutri/Coarse Cereals","Rabi","0.00","0.01","2479.00"
"Karnataka","Bengaluru Rural","Nutri/Coarse Cereals","Summer","0.00","0.00","4328.00"
"Karnataka","Bengaluru Rural","Nutri/Coarse Cereals","Total","0.67","1.45","2181.00"
"Karnataka","Bengaluru Rural","Cereals","Kharif","0.66","1.44","2178.00"
"Karnataka","Bengaluru Rural","Cereals","Rabi","0.00","0.01","2483.00"
"Karnataka","Bengaluru Rural","Cereals","Summer","0.00","0.01","4292.00"
"Karnataka","Bengaluru Rural","Cereals","Total","0.67","1.46","2183.00"
"Karnataka","Bengaluru Rural","Tur","Kharif","0.01","0.01","1087.00"
"Karnataka","Bengaluru Rural","Tur","Total","0.01","0.01","1087.00"
"Karnataka","Bengaluru Rural","Gram","Rabi","0.00","0.00","596.00"
"Karnataka","Bengaluru Rural","Gram","Total","0.00","0.00","596.00"
"Karnataka","Bengaluru Rural","Urad","Kharif","0.00","0.00","590.00"
"Karnataka","Bengaluru Rural","Urad","Total","0.00","0.00","590.00"
"Karnataka","Bengaluru Rural","Moong","Kharif","0.00","0.00","430.00"
"Karnataka","Bengaluru Rural","Moong","Total","0.00","0.00","430.00"
"Karnataka","Bengaluru Rural","Other Pulses","Kharif","0.01","0.01","867.00"
"Karnataka","Bengaluru Rural","Other Pulses","Rabi","0.00","0.00","718.00"
"Karnataka","Bengaluru Rural","Other Pulses","Total","0.01","0.01","848.00"
"Karnataka","Bengaluru Rural","Total Pulses","Total","0.02","0.01","915.00"
"Karnataka","Bengaluru Rural","Total Food Grains","Kharif","0.68","1.46","2152.00"
"Karnataka","Bengaluru Rural","Total Food Grains","Rabi","0.00","0.01","1646.00"
"Karnataka","Bengaluru Rural","Total Food Grains","Summer","0.00","0.01","4292.00"
"Karnataka","Bengaluru Rural","Total Food Grains","Total","0.68","1.47","2153.00"
"Karnataka","Bengaluru South","Rice","Kharif","0.03","0.09","2885.00"
"Karnataka","Bengaluru South","Rice","Rabi","0.00","0.00","2842.00"
"Karnataka","Bengaluru South","Rice","Summer","0.00","0.00","3594.00"
"Karnataka","Bengaluru South","Rice","Total","0.03","0.09","2886.00"
"Karnataka","Bengaluru South","Maize","Kharif","0.01","0.04","3336.00"
"Karnataka","Bengaluru South","Maize","Rabi","0.00","0.01","3584.00"
"Karnataka","Bengaluru South","Maize","Summer","0.00","0.00","4328.00"
"Karnataka","Bengaluru South","Maize","Total","0.02","0.06","3407.00"
"Karnataka","Bengaluru South","Jowar","Kharif","0.01","0.02","1982.00"
"Karnataka","Bengaluru South","Jowar","Rabi","0.00","0.00","1113.00"
"Karnataka","Bengaluru South","Jowar","Total","0.01","0.02","1765.00"
"Karnataka","Bengaluru South","Bajra","Kharif","0.00","0.00","1290.00"
"Karnataka","Bengaluru South","Bajra","Total","0.00","0.00","1290.00"
"Karnataka","Bengaluru South","Ragi","Kharif","0.64","1.01","1596.00"
"Karnataka","Bengaluru South","Ragi","Total","0.64","1.01","1596.00"
"Karnataka","Bengaluru South","Small Millets","Kharif","0.00","0.00","552.00"
"Karnataka","Bengaluru South","Small Millets","Total","0.00","0.00","552.00"
"Karnataka","Bengaluru South","Shree Anna /Nutri Cereals","Kharif","0.64","1.03","1601.00"
"Karnataka","Bengaluru South","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","1113.00"
"Karnataka","Bengaluru South","Shree Anna /Nutri Cereals","Total","0.65","1.03","1598.00"
"Karnataka","Bengaluru South","Nutri/Coarse Cereals","Kharif","0.66","1.08","1636.00"
"Karnataka","Bengaluru South","Nutri/Coarse Cereals","Rabi","0.01","0.02","2512.00"
"Karnataka","Bengaluru South","Nutri/Coarse Cereals","Summer","0.00","0.00","4328.00"
"Karnataka","Bengaluru South","Nutri/Coarse Cereals","Total","0.66","1.09","1646.00"
"Karnataka","Bengaluru South","Cereals","Kharif","0.69","1.16","1691.00"
"Karnataka","Bengaluru South","Cereals","Rabi","0.01","0.02","2526.00"
"Karnataka","Bengaluru South","Cereals","Summer","0.00","0.00","4139.00"
"Karnataka","Bengaluru South","Cereals","Total","0.70","1.18","1700.00"
"Karnataka","Bengaluru South","Tur","Kharif","0.01","0.01","757.00"
"Karnataka","Bengaluru South","Tur","Total","0.01","0.01","757.00"
"Karnataka","Bengaluru South","Urad","Kharif","0.00","0.00","590.00"
"Karnataka","Bengaluru South","Urad","Total","0.00","0.00","590.00"
"Karnataka","Bengaluru South","Moong","Kharif","0.00","0.00","430.00"
"Karnataka","Bengaluru South","Moong","Total","0.00","0.00","430.00"
"Karnataka","Bengaluru South","Other Pulses","Kharif","0.09","0.08","827.00"
"Karnataka","Bengaluru South","Other Pulses","Rabi","0.01","0.01","1048.00"
"Karnataka","Bengaluru South","Other Pulses","Total","0.10","0.09","854.00"
"Karnataka","Bengaluru South","Total Pulses","Total","0.12","0.10","844.00"
"Karnataka","Bengaluru South","Total Food Grains","Kharif","0.79","1.25","1577.00"
"Karnataka","Bengaluru South","Total Food Grains","Rabi","0.02","0.03","1580.00"
"Karnataka","Bengaluru South","Total Food Grains","Summer","0.00","0.00","4139.00"
"Karnataka","Bengaluru South","Total Food Grains","Total","0.81","1.28","1578.00"
"Karnataka","Bengaluru Urban","Rice","Kharif","0.00","0.01","3030.00"
"Karnataka","Bengaluru Urban","Rice","Total","0.00","0.01","3030.00"
"Karnataka","Bengaluru Urban","Maize","Kharif","0.01","0.02","3932.00"
"Karnataka","Bengaluru Urban","Maize","Total","0.01","0.02","3932.00"
"Karnataka","Bengaluru Urban","Jowar","Kharif","0.01","0.01","1982.00"
"Karnataka","Bengaluru Urban","Jowar","Total","0.01","0.01","1982.00"
"Karnataka","Bengaluru Urban","Bajra","Kharif","0.00","0.00","1290.00"
"Karnataka","Bengaluru Urban","Bajra","Total","0.00","0.00","1290.00"
"Karnataka","Bengaluru Urban","Ragi","Kharif","0.17","0.31","1851.00"
"Karnataka","Bengaluru Urban","Ragi","Total","0.17","0.31","1851.00"
"Karnataka","Bengaluru Urban","Small Millets","Kharif","0.00","0.00","1830.00"
"Karnataka","Bengaluru Urban","Small Millets","Total","0.00","0.00","1830.00"
"Karnataka","Bengaluru Urban","Shree Anna /Nutri Cereals","Kharif","0.17","0.32","1855.00"
"Karnataka","Bengaluru Urban","Shree Anna /Nutri Cereals","Total","0.17","0.32","1855.00"
"Karnataka","Bengaluru Urban","Nutri/Coarse Cereals","Kharif","0.18","0.34","1919.00"
"Karnataka","Bengaluru Urban","Nutri/Coarse Cereals","Total","0.18","0.34","1919.00"
"Karnataka","Bengaluru Urban","Cereals","Kharif","0.18","0.34","1930.00"
"Karnataka","Bengaluru Urban","Cereals","Total","0.18","0.34","1930.00"
"Karnataka","Bengaluru Urban","Tur","Kharif","0.00","0.00","572.00"
"Karnataka","Bengaluru Urban","Tur","Total","0.00","0.00","572.00"
"Karnataka","Bengaluru Urban","Urad","Kharif","0.00","0.00","590.00"
"Karnataka","Bengaluru Urban","Urad","Total","0.00","0.00","590.00"
"Karnataka","Bengaluru Urban","Moong","Kharif","0.00","0.00","430.00"
"Karnataka","Bengaluru Urban","Moong","Total","0.00","0.00","430.00"
"Karnataka","Bengaluru Urban","Other Pulses","Kharif","0.01","0.00","717.00"
"Karnataka","Bengaluru Urban","Other Pulses","Total","0.01","0.00","717.00"
"Karnataka","Bengaluru Urban","Total Pulses","Total","0.01","0.01","663.00"
"Karnataka","Bengaluru Urban","Total Food Grains","Kharif","0.19","0.35","1858.00"
"Karnataka","Bengaluru Urban","Total Food Grains","Total","0.19","0.35","1858.00"
"Karnataka","Bidar","Rice","Kharif","0.01","0.02","1703.00"
"Karnataka","Bidar","Rice","Total","0.01","0.02","1703.00"
"Karnataka","Bidar","Wheat","Rabi","0.09","0.09","944.00"
"Karnataka","Bidar","Wheat","Total","0.09","0.09","944.00"
"Karnataka","Bidar","Maize","Kharif","0.00","0.00","2466.00"
"Karnataka","Bidar","Maize","Rabi","0.00","0.00","3584.00"
"Karnataka","Bidar","Maize","Summer","0.00","0.00","4328.00"
"Karnataka","Bidar","Maize","Total","0.00","0.01","3695.00"
"Karnataka","Bidar","Jowar","Kharif","0.00","0.00","1087.00"
"Karnataka","Bidar","Jowar","Rabi","0.44","0.33","744.00"
"Karnataka","Bidar","Jowar","Total","0.44","0.33","744.00"
"Karnataka","Bidar","Bajra","Kharif","0.00","0.00","588.00"
"Karnataka","Bidar","Bajra","Total","0.00","0.00","588.00"
"Karnataka","Bidar","Small Millets","Kharif","0.00","0.00","994.00"
"Karnataka","Bidar","Small Millets","Total","0.00","0.00","994.00"
"Karnataka","Bidar","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","964.00"
"Karnataka","Bidar","Shree Anna /Nutri Cereals","Rabi","0.44","0.33","744.00"
"Karnataka","Bidar","Shree Anna /Nutri Cereals","Total","0.44","0.33","744.00"
"Karnataka","Bidar","Nutri/Coarse Cereals","Kharif","0.00","0.00","1170.00"
"Karnataka","Bidar","Nutri/Coarse Cereals","Rabi","0.44","0.33","750.00"
"Karnataka","Bidar","Nutri/Coarse Cereals","Summer","0.00","0.00","4328.00"
"Karnataka","Bidar","Nutri/Coarse Cereals","Total","0.44","0.33","755.00"
"Karnataka","Bidar","Cereals","Kharif","0.01","0.02","1657.00"
"Karnataka","Bidar","Cereals","Rabi","0.53","0.42","785.00"
"Karnataka","Bidar","Cereals","Summer","0.00","0.00","4328.00"
"Karnataka","Bidar","Cereals","Total","0.55","0.44","806.00"
"Karnataka","Bidar","Tur","Kharif","1.28","1.60","1255.00"
"Karnataka","Bidar","Tur","Total","1.28","1.60","1255.00"
"Karnataka","Bidar","Gram","Rabi","0.47","0.24","510.00"
"Karnataka","Bidar","Gram","Total","0.47","0.24","510.00"
"Karnataka","Bidar","Urad","Kharif","0.21","0.14","698.00"
"Karnataka","Bidar","Urad","Total","0.21","0.14","698.00"
"Karnataka","Bidar","Moong","Kharif","0.31","0.18","590.00"
"Karnataka","Bidar","Moong","Total","0.31","0.18","590.00"
"Karnataka","Bidar","Other Pulses","Kharif","0.00","0.00","712.00"
"Karnataka","Bidar","Other Pulses","Rabi","0.00","0.00","729.00"
"Karnataka","Bidar","Other Pulses","Total","0.00","0.00","718.00"
"Karnataka","Bidar","Total Pulses","Total","2.27","2.17","957.00"
"Karnataka","Bidar","Total Food Grains","Kharif","1.81","1.95","1079.00"
"Karnataka","Bidar","Total Food Grains","Rabi","1.01","0.66","655.00"
"Karnataka","Bidar","Total Food Grains","Summer","0.00","0.00","4328.00"
"Karnataka","Bidar","Total Food Grains","Total","2.82","2.61","927.00"
"Karnataka","Chamarajanagar","Rice","Kharif","0.10","0.32","3310.00"
"Karnataka","Chamarajanagar","Rice","Rabi","0.00","0.00","2230.00"
"Karnataka","Chamarajanagar","Rice","Summer","0.03","0.08","3072.00"
"Karnataka","Chamarajanagar","Rice","Total","0.12","0.40","3243.00"
"Karnataka","Chamarajanagar","Wheat","Rabi","0.00","0.00","1255.00"
"Karnataka","Chamarajanagar","Wheat","Total","0.00","0.00","1255.00"
"Karnataka","Chamarajanagar","Maize","Kharif","0.23","0.79","3452.00"
"Karnataka","Chamarajanagar","Maize","Rabi","0.05","0.19","4100.00"
"Karnataka","Chamarajanagar","Maize","Summer","0.06","0.24","4328.00"
"Karnataka","Chamarajanagar","Maize","Total","0.33","1.22","3689.00"
"Karnataka","Chamarajanagar","Jowar","Kharif","0.22","0.24","1098.00"
"Karnataka","Chamarajanagar","Jowar","Rabi","0.00","0.00","1113.00"
"Karnataka","Chamarajanagar","Jowar","Total","0.22","0.24","1098.00"
"Karnataka","Chamarajanagar","Bajra","Kharif","0.01","0.01","1482.00"
"Karnataka","Chamarajanagar","Bajra","Total","0.01","0.01","1482.00"
"Karnataka","Chamarajanagar","Ragi","Kharif","0.05","0.08","1566.00"
"Karnataka","Chamarajanagar","Ragi","Total","0.05","0.08","1566.00"
"Karnataka","Chamarajanagar","Small Millets","Kharif","0.00","0.00","1306.00"
"Karnataka","Chamarajanagar","Small Millets","Total","0.00","0.00","1306.00"
"Karnataka","Chamarajanagar","Shree Anna /Nutri Cereals","Kharif","0.28","0.33","1194.00"
"Karnataka","Chamarajanagar","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","1113.00"
"Karnataka","Chamarajanagar","Shree Anna /Nutri Cereals","Total","0.28","0.33","1194.00"
"Karnataka","Chamarajanagar","Nutri/Coarse Cereals","Kharif","0.51","1.12","2218.00"
"Karnataka","Chamarajanagar","Nutri/Coarse Cereals","Rabi","0.05","0.19","4082.00"
"Karnataka","Chamarajanagar","Nutri/Coarse Cereals","Summer","0.06","0.24","4328.00"
"Karnataka","Chamarajanagar","Nutri/Coarse Cereals","Total","0.61","1.56","2553.00"
"Karnataka","Chamarajanagar","Cereals","Kharif","0.60","1.44","2393.00"
"Karnataka","Chamarajanagar","Cereals","Rabi","0.05","0.19","4001.00"
"Karnataka","Chamarajanagar","Cereals","Summer","0.08","0.32","3937.00"
"Karnataka","Chamarajanagar","Cereals","Total","0.73","1.96","2670.00"
"Karnataka","Chamarajanagar","Tur","Kharif","0.00","0.00","798.00"
"Karnataka","Chamarajanagar","Tur","Total","0.00","0.00","798.00"
"Karnataka","Chamarajanagar","Gram","Rabi","0.01","0.01","772.00"
"Karnataka","Chamarajanagar","Gram","Total","0.01","0.01","772.00"
"Karnataka","Chamarajanagar","Urad","Kharif","0.01","0.00","169.00"
"Karnataka","Chamarajanagar","Urad","Rabi","0.00","0.00","429.00"
"Karnataka","Chamarajanagar","Urad","Total","0.01","0.00","171.00"
"Karnataka","Chamarajanagar","Moong","Kharif","0.00","0.00","137.00"
"Karnataka","Chamarajanagar","Moong","Rabi","0.00","0.00","299.00"
"Karnataka","Chamarajanagar","Moong","Total","0.00","0.00","145.00"
"Karnataka","Chamarajanagar","Other Pulses","Kharif","0.03","0.03","795.00"
"Karnataka","Chamarajanagar","Other Pulses","Rabi","0.14","0.10","712.00"
"Karnataka","Chamarajanagar","Other Pulses","Total","0.17","0.12","728.00"
"Karnataka","Chamarajanagar","Total Pulses","Total","0.19","0.13","700.00"
"Karnataka","Chamarajanagar","Total Food Grains","Kharif","0.65","1.47","2270.00"
"Karnataka","Chamarajanagar","Total Food Grains","Rabi","0.19","0.29","1542.00"
"Karnataka","Chamarajanagar","Total Food Grains","Summer","0.08","0.32","3937.00"
"Karnataka","Chamarajanagar","Total Food Grains","Total","0.92","2.09","2267.00"
"Karnataka","Chikkaballapura","Rice","Kharif","0.01","0.04","2880.00"
"Karnataka","Chikkaballapura","Rice","Rabi","0.00","0.01","2842.00"
"Karnataka","Chikkaballapura","Rice","Summer","0.00","0.01","1798.00"
"Karnataka","Chikkaballapura","Rice","Total","0.02","0.06","2666.00"
"Karnataka","Chikkaballapura","Maize","Kharif","0.53","1.21","2300.00"
"Karnataka","Chikkaballapura","Maize","Rabi","0.04","0.10","2498.00"
"Karnataka","Chikkaballapura","Maize","Summer","0.03","0.12","4328.00"
"Karnataka","Chikkaballapura","Maize","Total","0.60","1.43","2407.00"
"Karnataka","Chikkaballapura","Jowar","Kharif","0.01","0.01","1982.00"
"Karnataka","Chikkaballapura","Jowar","Rabi","0.00","0.00","1113.00"
